,Country,Confirmed,Deaths,Population (million),ISO,Cases per Million,Deaths per Million
180,Saudi Arabia,362741,6223,34.27,SAU,10584.8,181.59
181,Senegal,19140,410,16.3,SEN,1174.23,25.15
182,Serbia,337923,3211,8.77,SRB,38531.7,366.13
184,Sierra Leone,2611,76,7.81,SLE,334.31,9.73
185,Singapore,58599,29,5.8,SGP,10103.28,5
186,Slovakia,179543,2138,5.46,SVK,32883.33,391.58
187,Slovenia,122152,2697,2.08,SVN,58726.92,1296.63
189,Somalia,4714,130,15.44,SOM,305.31,8.42
190,South Africa,1057161,28469,58.56,ZAF,18052.61,486.15
191,South Korea,61769,917,51.23,KOR,1205.72,17.9
192,South Sudan,3558,63,11.06,SSD,321.7,5.7
193,Spain,2156956,77941,46.74,ESP,46147.97,1667.54
194,Sri Lanka,43299,204,21.32,LKA,2030.91,9.57
196,Sudan,25500,1468,42.81,SDN,595.66,34.29
198,Sweden,479262,13289,10.04,SWE,47735.26,1323.61
199,Switzerland,452296,7645,8.59,CHE,52653.78,889.99
200,Syria,11434,711,17.07,SYR,669.83,41.65
201,Taiwan,799,7,23.77,TWN,33.61,0.29
202,Tajikistan,13296,90,9.32,TJK,1426.61,9.66
203,Tanzania,509,21,58.01,TZA,8.77,0.36
204,Thailand,7163,63,69.63,THA,102.87,0.9
207,Timor-Leste,44,0,1.29,TLS,34.11,0
208,Togo,3633,68,8.08,TGO,449.63,8.42
209,Trinidad and Tobago,7150,127,1.39,TTO,5143.88,91.37
210,Tunisia,139140,4676,11.69,TUN,11902.48,400
211,Turkey,2208652,20881,83.43,TUR,26473.12,250.28
212,United Kingdom,2791398,114983,67.53,GBR,41335.67,1702.7
213,United States,20100051,352186,329.06,USA,61083.24,1070.28
214,Uganda,35216,251,44.27,UGA,795.48,5.67
215,Ukraine,1110669,19989,43.99,UKR,25248.22,454.4
216,United Arab Emirates,207822,669,9.77,ARE,21271.44,68.47
217,Uruguay,19119,181,3.46,URY,5525.72,52.31
218,Uzbekistan,77060,614,32.98,UZB,2336.57,18.62
221,Venezuela,113558,1028,28.52,VEN,3981.7,36.04
222,Vietnam,1465,35,96.46,VNM,15.19,0.36
224,Yemen,2099,610,29.16,YEM,71.98,20.92
225,Zambia,20725,388,17.86,ZMB,1160.41,21.72
226,Zimbabwe,13867,363,14.65,ZWE,946.55,24.7

